Ingresos_Mensuales,Edad,Score_Credito,Deudas_Mensuales,Credito_Aprobado
40823.55,42,489,7369.24,0
64402.38,44,514,6571.28,0
26726.07,40,465,1173.96,1
46130.8,58,416,1205.96,0
56291.57,62,689,659.63,1
31222.45,44,563,1102.73,0
74019.32,50,405,1849.04,0
24950.56,28,768,7.69,1
55039.36,46,579,4738.27,1
31808.41,63,788,6972.39,1
29183.48,28,437,2509.55,0
30950.32,60,622,1025.47,1
28168.64,57,769,15587.67,0
39781.88,28,425,2994.39,0
34537.93,22,618,550.25,0
40072.72,28,413,1391.24,0
60373.38,29,557,9219.26,0
47987.64,63,678,2941.5,1
31902.79,24,534,3476.13,0
55555.21,31,785,7153.67,1
59257.89,48,787,5345.59,1
31364.94,52,693,12804.85,0
44949.01,55,809,5084.58,0
19965.4,32,508,9915.97,0
55325.68,38,563,14501.55,0
23295.84,47,682,2368.28,1
28696.44,61,700,4435.93,1
32752.32,59,698,8522.27,0
62917.36,28,802,2022.01,1
29788.49,46,735,3988.35,1
24186.49,31,716,5629.0,0
30548.59,52,537,13639.98,0
45639.58,39,831,4059.15,1
28762.65,39,773,3235.07,1
27662.26,48,779,3975.25,1
32128.04,32,433,2236.16,0
45461.52,51,425,15008.49,0
17347.64,54,603,6053.89,1
22794.92,60,628,1173.05,0
37587.58,32,828,13493.81,1
40641.44,46,425,1066.92,0
45691.84,39,733,3160.79,1
73020.19,22,642,14549.56,0
36888.39,38,711,9811.17,1
32341.11,44,635,1742.1,1
64402.83,47,699,647.6,1
65530.6,45,687,6253.54,1
30462.2,26,572,26720.34,0
46595.03,63,552,1252.19,0
29613.88,60,606,6482.22,0
51195.97,40,532,14245.23,0
48896.34,58,817,1263.7,1
24744.03,52,743,2663.65,1
20345.61,57,492,2087.01,0
59261.83,57,790,14625.26,0
70742.02,36,581,1516.42,0
23356.23,45,533,5285.12,0
42039.72,61,436,3834.45,0
18133.85,55,552,3197.48,0
30953.9,50,540,1409.64,0
36640.64,27,466,5718.97,0
32358.74,34,774,2801.82,1
19306.42,34,409,6775.94,0
21942.9,44,559,828.2,0
36985.79,24,552,17792.78,0
35615.31,49,751,32385.39,0
50700.41,34,484,17748.81,0
32284.68,30,508,7947.28,0
25772.61,63,805,228.48,1
25739.99,25,704,31417.96,0
38107.07,29,613,3525.31,1
21829.3,35,755,6945.21,1
32989.99,55,538,5849.84,0
22163.58,54,768,5769.27,1
48872.89,60,502,9029.36,0
54298.03,48,551,1048.79,0
34221.69,22,743,559.29,1
37878.78,27,799,4301.02,1
25584.9,36,633,26879.65,0
33933.89,33,847,241.46,1
45179.87,29,448,11432.76,0
39560.25,50,718,1874.39,1
31030.26,29,605,3067.46,0
67497.69,52,809,3286.39,1
27843.26,25,832,1041.8,1
45738.78,65,624,1199.94,1
31905.61,65,850,10940.86,0
23936.32,24,432,1819.72,0
50975.18,58,770,4994.62,0
40459.13,55,752,7235.45,1
39464.29,44,739,6767.55,1
55350.49,61,427,70.28,0
