Alcaldia,Metros_Cuadrados,Recamaras,Banos,Estacionamientos,Antiguedad_Anos,Precio_Millones_MXN
Miguel Hidalgo,153.7,2,1,1,35,9.38
Coyoacán,103.9,2,3,1,18,4.92
Coyoacán,202.3,3,2,1,18,8.87
Cuauhtémoc,84.4,3,2,1,8,5.33
Cuauhtémoc,58.9,3,2,2,6,4.72
Tlalpan,216.2,2,2,2,30,7.51
Miguel Hidalgo,104.6,4,1,0,36,6.35
Benito Juárez,205.2,2,2,1,2,10.79
Coyoacán,81.7,4,2,0,0,4.39
Miguel Hidalgo,98.4,4,3,2,8,9.49
Cuauhtémoc,187.5,2,1,2,16,8.69
Cuauhtémoc,79.8,4,2,2,32,5.2
Benito Juárez,81.4,2,2,1,15,4.79
Coyoacán,178.1,2,2,0,16,7.37
Benito Juárez,163.5,3,2,1,25,8.82
Miguel Hidalgo,112.5,2,1,1,30,7.17
Tlalpan,205.2,3,1,1,38,6.43
Benito Juárez,205.9,1,1,1,36,9.21
Tlalpan,125.1,4,1,2,5,5.41
Benito Juárez,127.1,3,2,2,36,7.11
Miguel Hidalgo,173.0,3,2,0,13,10.99
Miguel Hidalgo,169.1,3,1,0,30,9.58
Cuauhtémoc,180.2,4,2,1,24,8.64
Coyoacán,113.9,4,3,1,22,6.06
Cuauhtémoc,191.9,1,2,2,34,8.71
Cuauhtémoc,92.1,2,1,1,12,4.6
Benito Juárez,90.9,1,1,0,28,4.15
Benito Juárez,91.6,1,2,2,14,5.75
Benito Juárez,73.8,2,1,1,36,4.05
Miguel Hidalgo,90.3,2,3,1,26,7.01
Tlalpan,199.6,2,2,2,3,7.43
Miguel Hidalgo,168.4,3,1,1,24,10.32
Cuauhtémoc,194.4,2,1,2,3,9.91
Tlalpan,140.1,3,1,1,13,4.9
Coyoacán,194.0,1,3,1,3,8.2
Tlalpan,56.7,1,1,1,30,1.91
Benito Juárez,177.0,3,1,1,25,9.1
Miguel Hidalgo,114.7,3,2,1,16,8.03
Coyoacán,66.8,4,2,1,13,4.17
Tlalpan,196.9,4,1,0,16,6.45
Coyoacán,100.2,2,2,1,24,4.78
Tlalpan,161.3,4,2,1,31,5.82
Miguel Hidalgo,78.8,4,3,2,11,8.48
Benito Juárez,139.1,1,1,0,26,5.76
Benito Juárez,170.2,1,1,2,23,8.43
Benito Juárez,140.0,2,3,1,1,8.2
Coyoacán,187.0,2,1,0,33,6.75
Tlalpan,92.9,2,2,2,5,4.07
Tlalpan,91.3,4,1,1,5,4.27
Benito Juárez,65.9,3,2,2,3,5.57
Benito Juárez,135.0,3,2,0,33,7.0
Tlalpan,130.8,1,1,1,34,4.08
Miguel Hidalgo,52.7,2,3,1,25,5.34
Tlalpan,90.9,3,3,1,24,4.12
Benito Juárez,135.1,2,1,0,27,6.11
Tlalpan,180.7,3,2,1,1,6.74
Coyoacán,133.4,2,3,2,27,6.35
Coyoacán,64.6,3,2,1,4,4.25
Coyoacán,103.8,1,1,0,19,3.87
Benito Juárez,72.5,2,2,2,35,4.85
Benito Juárez,65.2,3,1,1,24,3.82
Benito Juárez,173.2,3,1,1,24,8.49
Miguel Hidalgo,133.8,1,1,2,17,8.69
Benito Juárez,111.4,2,2,1,29,5.88
Coyoacán,106.5,3,2,1,28,4.85
Tlalpan,73.1,2,3,1,30,3.47
Coyoacán,214.5,2,2,2,17,9.43
Benito Juárez,208.5,2,3,1,35,10.66
Miguel Hidalgo,191.3,1,2,2,8,12.55
Cuauhtémoc,171.6,3,1,2,38,8.06
Tlalpan,207.0,4,2,0,23,7.25
Tlalpan,158.5,1,1,1,22,4.68
Tlalpan,217.2,4,2,1,27,7.06
Tlalpan,148.7,3,1,2,23,5.24
Tlalpan,167.4,2,2,0,30,5.05
Benito Juárez,69.7,4,1,1,19,4.44
Tlalpan,132.1,3,1,2,28,4.79
Benito Juárez,53.8,2,1,1,15,3.5
Miguel Hidalgo,145.2,3,1,2,40,9.27
Coyoacán,117.2,4,3,1,28,6.18
Cuauhtémoc,85.0,4,1,0,34,4.04
Coyoacán,69.4,4,2,1,38,3.9
Benito Juárez,109.1,3,3,1,19,7.23
Cuauhtémoc,103.2,2,2,0,11,5.06
Coyoacán,121.1,2,3,2,27,5.89
Cuauhtémoc,144.3,3,2,1,11,7.29
Benito Juárez,197.1,1,2,1,12,9.69
Coyoacán,120.7,3,2,1,5,6.11
Cuauhtémoc,99.7,2,1,1,10,5.27
Coyoacán,143.5,1,3,0,17,5.81
Benito Juárez,179.2,3,3,1,27,9.8
Benito Juárez,126.5,2,1,2,7,7.29
Tlalpan,167.2,4,3,2,10,7.03
Cuauhtémoc,186.9,3,2,1,38,8.62
Miguel Hidalgo,99.2,2,3,0,8,7.5
Cuauhtémoc,92.4,4,2,1,25,5.45
Miguel Hidalgo,156.7,3,2,0,40,9.94
Coyoacán,137.7,2,2,2,31,6.71
Coyoacán,157.9,4,2,0,34,6.94
Miguel Hidalgo,190.8,2,3,1,36,11.59
Miguel Hidalgo,65.9,2,2,0,23,4.9
Benito Juárez,117.4,2,1,2,5,6.81
Cuauhtémoc,138.3,3,1,0,21,6.16
Benito Juárez,88.9,1,1,0,20,4.03
Coyoacán,181.5,2,1,0,33,6.76
Cuauhtémoc,124.8,4,1,1,26,6.37
Cuauhtémoc,64.7,1,1,0,37,2.66
Coyoacán,103.5,2,1,1,5,4.58
Tlalpan,98.4,4,1,1,13,4.01
Coyoacán,100.2,1,1,2,24,4.28
Tlalpan,62.1,1,2,1,8,2.48
Coyoacán,112.1,4,1,2,4,6.02
Tlalpan,180.4,3,2,0,40,5.76
Miguel Hidalgo,64.2,1,3,1,9,5.74
Benito Juárez,102.7,3,1,0,15,5.11
Coyoacán,154.1,1,2,1,7,6.53
Miguel Hidalgo,78.4,2,2,0,1,5.79
Tlalpan,60.9,4,3,0,31,2.95
Coyoacán,196.1,2,2,1,16,8.29
Tlalpan,50.4,1,1,0,30,1.2
Cuauhtémoc,208.3,1,3,2,14,9.99
Miguel Hidalgo,96.1,1,3,1,7,7.44
Cuauhtémoc,87.9,3,1,2,4,5.54
Benito Juárez,144.0,1,2,1,18,7.38
Tlalpan,91.2,2,3,2,12,4.47
Cuauhtémoc,75.6,3,1,1,34,3.67
Benito Juárez,211.7,1,2,1,6,9.69
Cuauhtémoc,171.0,1,1,1,33,6.85
Coyoacán,215.7,1,3,0,32,8.03
Coyoacán,162.6,2,1,1,16,6.48
Miguel Hidalgo,104.1,2,1,0,12,6.45
Benito Juárez,141.1,2,2,1,29,7.23
Cuauhtémoc,187.3,2,3,0,13,8.87
Benito Juárez,170.9,2,2,0,19,8.01
Coyoacán,144.5,3,1,0,29,5.85
Cuauhtémoc,190.0,2,1,1,4,8.87
Cuauhtémoc,65.6,2,1,0,29,2.9
Coyoacán,55.0,4,2,1,22,3.57
Miguel Hidalgo,125.8,2,1,1,18,8.07
Coyoacán,60.4,2,2,1,26,3.35
Tlalpan,185.1,3,2,2,34,6.72
Tlalpan,135.4,3,2,1,1,5.18
Miguel Hidalgo,60.0,3,3,1,37,5.22
Miguel Hidalgo,140.7,4,1,1,36,8.89
Cuauhtémoc,79.9,3,2,1,37,4.85
Tlalpan,211.2,3,3,1,11,7.54
Cuauhtémoc,152.3,1,3,2,0,8.02
Cuauhtémoc,107.9,2,2,0,1,5.05
Cuauhtémoc,181.6,3,2,0,23,8.41
Tlalpan,67.2,2,2,1,10,3.18
